formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,02,03,09,12.340,31,39,12,3,12,24,8,3
TTF,02,03,09,12.340,31,39,12,3,12,24,8,3
TFT,02,03,09,12.340,31,39,12,3,12,24,8,3
TFF,02,03,09,12.340,31,39,12,3,12,24,8,3
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,04,05,10,19.849,28,39,14,2,15,29,5,0
TTF,04,05,10,19.849,28,39,14,2,15,29,5,0
TFT,04,05,10,19.849,28,39,14,2,15,29,5,0
TFF,04,05,10,19.849,28,39,14,2,15,29,5,0
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,06,07,11,11.687,23,55,2,1,18,28,5,0
TTF,06,07,11,11.687,23,55,2,1,18,28,5,0
TFT,06,07,11,11.687,23,55,2,1,18,28,5,0
TFF,06,07,11,11.687,23,55,2,1,18,28,5,0
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,08,09,12,9.189,51,7,41,15,3,2,7,6
TTF,08,09,12,9.189,51,7,41,15,3,2,7,6
TFT,08,09,12,15.056,51,7,41,15,1,4,8,5
TFF,08,09,12,15.056,51,7,41,15,1,4,8,5
FTT,08,09,12,14.664,51,20,41,2,6,6,4,2
FTF,08,09,12,14.664,51,20,41,2,6,6,4,2
FFT,08,09,12,16.397,51,20,41,2,6,6,3,3
FFF,08,09,12,16.397,51,20,41,2,6,6,3,3
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,10,11,13,18.960,13,6,8,35,17,12,15,26
TTF,10,11,13,18.960,13,6,8,35,17,12,15,26
FTT,10,11,13,21.485,20,39,20,8,5,26,8,6
FTF,10,11,13,21.485,20,39,20,8,5,26,8,6
FFT,10,11,13,12.439,38,21,20,8,27,4,5,9
FFF,10,11,13,12.439,38,21,20,8,27,4,5,9
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
