formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,00,01,08,0.014,12,2,16,3,0,0,0,0
TTF,00,01,08,0.014,12,2,16,3,0,0,0,0
TFT,00,01,08,0.014,12,2,16,3,0,0,0,0
TFF,00,01,08,0.014,12,2,16,3,0,0,0,0
FTT,00,01,08,0.014,12,2,16,3,0,0,0,0
FTF,00,01,08,0.014,12,2,16,3,0,0,0,0
FFT,00,01,08,0.014,12,2,16,3,0,0,0,0
FFF,00,01,08,0.014,12,2,16,3,0,0,0,0
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,02,03,09,7.765,5,12,4,0,5,6,1,0
TTF,02,03,09,7.765,5,12,4,0,5,6,1,0
TFT,02,03,09,7.765,5,12,4,0,5,6,1,0
TFF,02,03,09,7.765,5,12,4,0,5,6,1,0
FTT,02,03,09,3.376,12,5,4,0,6,5,1,0
FTF,02,03,09,3.376,12,5,4,0,6,5,1,0
FFT,02,03,09,3.376,12,5,4,0,6,5,1,0
FFF,02,03,09,3.376,12,5,4,0,6,5,1,0
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,04,05,10,9.313,6,8,4,0,3,11,1,0
TTF,04,05,10,9.313,6,8,4,0,3,11,1,0
TFT,04,05,10,9.313,6,8,4,0,3,11,1,0
TFF,04,05,10,9.313,6,8,4,0,3,11,1,0
FTT,04,05,10,3.830,8,6,4,0,11,3,1,0
FTF,04,05,10,3.830,8,6,4,0,11,3,1,0
FFT,04,05,10,3.830,8,6,4,0,11,3,1,0
FFF,04,05,10,3.830,8,6,4,0,11,3,1,0
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,06,07,11,1.726,7,13,0,0,5,7,1,0
TTF,06,07,11,1.726,7,13,0,0,5,7,1,0
TFT,06,07,11,1.726,7,13,0,0,5,7,1,0
TFF,06,07,11,1.726,7,13,0,0,5,7,1,0
FTT,06,07,11,0.733,13,7,0,0,7,5,1,0
FTF,06,07,11,0.733,13,7,0,0,7,5,1,0
FFT,06,07,11,0.733,13,7,0,0,7,5,1,0
FFF,06,07,11,0.733,13,7,0,0,7,5,1,0
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
