formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,04,05,10,9.313,6,8,4,0,3,11,1,0
TTF,04,05,10,9.313,6,8,4,0,3,11,1,0
TFT,04,05,10,9.313,6,8,4,0,3,11,1,0
TFF,04,05,10,9.313,6,8,4,0,3,11,1,0
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
FTT,08,09,12,9.730,12,7,9,0,1,3,0,1
FTF,08,09,12,9.730,12,7,9,0,1,3,0,1
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,10,11,13,8.617,5,0,3,6,6,2,4,7
TTF,10,11,13,8.617,5,0,3,6,6,2,4,7
FTT,10,11,13,7.842,7,9,6,2,1,4,4,0
FTF,10,11,13,7.842,7,9,6,2,1,4,4,0
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TFF,12,13,14,8.078,13,4,5,3,1,5,2,0
FFF,12,13,14,8.078,13,4,5,3,1,5,2,0
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,19,20,25,9.917,4,14,4,0,4,6,1,0
TTF,19,20,25,9.917,4,14,4,0,4,6,1,0
TFT,19,20,25,9.917,4,14,4,0,4,6,1,0
TFF,19,20,25,9.917,4,14,4,0,4,6,1,0
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TFT,25,26,28,9.021,0,3,8,2,3,5,9,3
TFF,25,26,28,9.021,0,3,8,2,3,5,9,3
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TFT,38,39,42,8.659,18,1,8,3,0,1,2,0
TFF,38,39,42,8.659,18,1,8,3,0,1,2,0
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,47,48,54,9.599,9,8,3,0,1,9,2,1
TTF,47,48,54,9.599,9,8,3,0,1,9,2,1
TFT,47,48,54,9.599,9,8,3,0,1,9,2,1
TFF,47,48,54,9.599,9,8,3,0,1,9,2,1
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TFT,53,54,57,12.681,12,1,11,3,0,2,1,3
TFF,53,54,57,12.681,12,1,11,3,0,2,1,3
FFT,53,54,57,13.545,13,4,10,0,1,4,0,1
FFF,53,54,57,13.545,13,4,10,0,1,4,0,1
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,55,56,58,11.426,1,4,1,12,5,1,3,6
TTF,55,56,58,11.426,1,4,1,12,5,1,3,6
TFT,55,56,58,8.330,2,3,12,1,6,0,6,3
TFF,55,56,58,8.330,2,3,12,1,6,0,6,3
FTT,55,56,58,12.088,4,8,5,1,1,11,0,3
FTF,55,56,58,12.088,4,8,5,1,1,11,0,3
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
