2013,2014,2015,2016,2017,2018,2019
,,,,,,
"R1 Grouped",,,,,,
2,2,2,2,2,2,1.7692038993
1.4252197727,1.3625656943,1.3804523797,1.3977167918,1.3440101948,1.3602838429,1.3760407791
1.1327439019,1.1199577274,1.1293433883,1.1189438356,1.1083639629,1.1365944197,1.1245771481
0.992260877,0.996405404,0.9802794213,1.0053287528,0.9535901796,0.947768435,0.9722115628
0,0,0,0,0,0,0
,,,,,,
"R1 Separate",,,,,,
2,2,2,2,2,2,1.7692038993
1.4252197727,1.3625656943,1.3804523797,1.3977167918,1.3440101948,1.3602838429,1.3760407791
1.1631440406,1.1437646,1.1260389104,1.0702482606,1.0570363456,1.0808615169,1.1038431398
1.1023437632,1.0961508547,1.1326478663,1.1676394106,1.1596915802,1.1923273226,1.1453111565
0.7612823908,0.6898202312,0.6242869483,0.6828764698,0.6603066747,0.6767844807,0.7293107575
1.0995538121,1.1222629842,1.0820607889,1.0447312883,0.9537101213,0.86947563,0.8427577133
1.1159464279,1.1771329966,1.2344905268,1.2883785003,1.2467537426,1.2970451943,1.3445662175
0,0,0,0,0,0,0
,,,,,,
"R2-R6 Weighted Averages",,,,,,
1.0960226368,1.0255184405,1.0280047853,1.0169015383,1.0085075325,1.0517190671,1.0349243918
0.9074472394,0.8963083681,0.8581664326,0.8815834483,0.9021714769,0.9088993287,0.8644826467
0.3579691718,0.2302351327,0.1909716145,0.2167374254,0.136706458,0.1188463061,0.1504395788
0.6673769231,0.6983681575,0.5784406838,0.6093441472,0.6389325696,0.674510496,0.7010202861
1.4133971593,1.4171625002,1.441447396,1.441447396,1.1671880002,1.1671880002,1.199219231
,,,,,,
,,,,,,
"Seed-weighted:",,,,,,
"R1 Grouped",,,,,,
2,2,2,2,2,2,1.7692038993
1.4252197727,1.3625656943,1.3804523797,1.3977167918,1.3440101948,1.3602838429,1.3760407791
1.1239462408,1.1116452654,1.120961419,1.1095749793,1.0990011131,1.1266664795,1.1160620929
1.1239462408,1.1116452654,1.120961419,1.1095749793,1.0990011131,1.1266664795,1.1160620929
0.9481178098,0.9341775923,0.9014353156,0.928223297,0.8792796956,0.8692346352,0.8944760731
0.9481178098,0.9341775923,0.9014353156,0.928223297,0.8792796956,0.8692346352,0.8944760731
0.9481178098,0.9341775923,0.9014353156,0.928223297,0.8792796956,0.8692346352,0.8944760731
0,0,0,0,0,0,0
,,,,,,
"R2-R6 Weighted Averages",,,,,,
0.7300894976,0.7256867311,0.7262248008,0.7307164601,0.7402819935,0.7447518994,0.7411460851
0.7154059556,0.7241293547,0.7009183735,0.7114893029,0.7391687766,0.7355894309,0.7143276345
0.5619089765,0.5264272183,0.4945600154,0.4919846802,0.4697685742,0.4595952558,0.4593748076
0.8217277548,0.8254069985,0.6989678614,0.7047260475,0.7106414922,0.7227985752,0.7466939569
0.711033407,0.7322638446,0.8439593326,0.8439593326,0.813649393,0.813649393,0.8276050547
