Year,Champ Seed,Champ Region,FF_c Seed,FF_c Region,Runner-up Seed,Runner-up Region,FF_r Seed,FF_r Region
1985,8,3,2,2,1,1,1,0
1986,2,1,11,0,1,2,1,3
1987,1,1,1,0,2,3,6,2
1988,6,0,2,1,1,3,1,2
1989,3,1,1,0,3,3,2,2
1990,1,1,4,0,3,2,4,3
1991,2,1,1,0,3,3,1,2
1992,1,2,2,3,6,1,4,0
1993,1,2,2,3,1,1,1,0
1994,1,1,2,0,2,3,3,2
1995,1,3,4,2,2,0,2,1
1996,1,3,1,2,4,1,5,0
1997,4,3,1,2,1,0,1,1
1998,2,3,3,2,3,1,1,0
1999,1,3,4,2,1,0,1,1
2000,1,1,8,0,5,2,8,3
2001,1,2,3,3,2,0,1,1
2002,1,2,1,3,5,0,2,1
2003,3,3,1,2,2,1,3,0
2004,2,3,1,2,3,0,2,1
2005,1,2,5,3,1,0,4,1
2006,3,3,11,2,2,1,4,0
2007,1,0,2,1,1,3,2,2
2008,1,1,1,0,1,2,1,3
2009,1,3,3,2,2,0,1,1
2010,1,3,2,2,5,1,5,0
2011,3,1,4,0,8,3,11,2
2012,1,0,4,1,2,3,2,2
2013,1,0,9,1,4,2,4,3
2014,7,1,1,0,8,3,2,2
2015,1,3,7,2,1,1,1,0
2016,2,0,2,1,1,2,10,3
2017,1,3,3,2,1,1,7,0
