Year 2013:
Champion Distribution:
01 - 0.512  
02 - 0.250  
03 - 0.123  
04 - 0.061  
05 - 0.029  
06 - 0.014  
07 - 0.007  
08 - 0.003  
09 - 0.000  
10 - 0.000  
11 - 0.000  
12 - 0.000  
13 - 0.000  
14 - 0.000  
15 - 0.000  
16 - 0.000  


Runner-up Distribution:
01 - 0.391  
02 - 0.242  
03 - 0.148  
04 - 0.093  
05 - 0.057  
06 - 0.035  
07 - 0.021  
08 - 0.013  
09 - 0.000  
10 - 0.000  
11 - 0.000  
12 - 0.000  
13 - 0.000  
14 - 0.000  
15 - 0.000  
16 - 0.000  


Year 2014:
Champion Distribution:
01 - 0.523  
02 - 0.249  
03 - 0.120  
04 - 0.058  
05 - 0.028  
06 - 0.013  
07 - 0.006  
08 - 0.003  
09 - 0.000  
10 - 0.000  
11 - 0.000  
12 - 0.000  
13 - 0.000  
14 - 0.000  
15 - 0.000  
16 - 0.000  


Runner-up Distribution:
01 - 0.388  
02 - 0.238  
03 - 0.150  
04 - 0.093  
05 - 0.058  
06 - 0.037  
07 - 0.023  
08 - 0.014  
09 - 0.000  
10 - 0.000  
11 - 0.000  
12 - 0.000  
13 - 0.000  
14 - 0.000  
15 - 0.000  
16 - 0.000  


Year 2015:
Champion Distribution:
01 - 0.479  
02 - 0.249  
03 - 0.132  
04 - 0.069  
05 - 0.037  
06 - 0.019  
07 - 0.010  
08 - 0.005  
09 - 0.000  
10 - 0.000  
11 - 0.000  
12 - 0.000  
13 - 0.000  
14 - 0.000  
15 - 0.000  
16 - 0.000  


Runner-up Distribution:
01 - 0.365  
02 - 0.236  
03 - 0.152  
04 - 0.098  
05 - 0.064  
06 - 0.041  
07 - 0.027  
08 - 0.017  
09 - 0.000  
10 - 0.000  
11 - 0.000  
12 - 0.000  
13 - 0.000  
14 - 0.000  
15 - 0.000  
16 - 0.000  


Year 2016:
Champion Distribution:
01 - 0.485  
02 - 0.253  
03 - 0.128  
04 - 0.068  
05 - 0.034  
06 - 0.018  
07 - 0.009  
08 - 0.005  
09 - 0.000  
10 - 0.000  
11 - 0.000  
12 - 0.000  
13 - 0.000  
14 - 0.000  
15 - 0.000  
16 - 0.000  


Runner-up Distribution:
01 - 0.371  
02 - 0.237  
03 - 0.152  
04 - 0.098  
05 - 0.062  
06 - 0.039  
07 - 0.025  
08 - 0.016  
09 - 0.000  
10 - 0.000  
11 - 0.000  
12 - 0.000  
13 - 0.000  
14 - 0.000  
15 - 0.000  
16 - 0.000  


Year 2017:
Champion Distribution:
01 - 0.486  
02 - 0.249  
03 - 0.131  
04 - 0.067  
05 - 0.035  
06 - 0.017  
07 - 0.009  
08 - 0.005  
09 - 0.000  
10 - 0.000  
11 - 0.000  
12 - 0.000  
13 - 0.000  
14 - 0.000  
15 - 0.000  
16 - 0.000  


Runner-up Distribution:
01 - 0.378  
02 - 0.238  
03 - 0.151  
04 - 0.094  
05 - 0.060  
06 - 0.038  
07 - 0.025  
08 - 0.015  
09 - 0.000  
10 - 0.000  
11 - 0.000  
12 - 0.000  
13 - 0.000  
14 - 0.000  
15 - 0.000  
16 - 0.000  


Year 2018:
Champion Distribution:
01 - 0.494  
02 - 0.251  
03 - 0.128  
04 - 0.065  
05 - 0.033  
06 - 0.016  
07 - 0.008  
08 - 0.004  
09 - 0.000  
10 - 0.000  
11 - 0.000  
12 - 0.000  
13 - 0.000  
14 - 0.000  
15 - 0.000  
16 - 0.000  


Runner-up Distribution:
01 - 0.387  
02 - 0.239  
03 - 0.151  
04 - 0.092  
05 - 0.058  
06 - 0.037  
07 - 0.022  
08 - 0.014  
09 - 0.000  
10 - 0.000  
11 - 0.000  
12 - 0.000  
13 - 0.000  
14 - 0.000  
15 - 0.000  
16 - 0.000  


